"","Row.names","cls","dgr","burts","btw"
"403","Leo-Tyrell",0.000329815303430079,5,0.376393573958509,1643.40945121607
"404","Leobald-Tallhart",0.000362844702467344,3,0.374877802973041,6.48118626981158
"405","Leona-Woolfield",0.00033955857385399,2,0.545657900171898,0
"406","Leonette-Fossoway",0.000316455696202532,1,1,0
"407","Lewyn-Martell",0.000321957501609788,4,0.502196180555555,416.115037930457
"408","Lewys-Piper",0.000391696043869957,1,1,0
"409","Lollys-Stokeworth",0.000408830744071954,7,0.235548408881576,3.68876262626263
"410","Lommy-Greenhands",0.000382995021064726,6,0.31998348527419,3.51837295258348
"411","Longwater-Pyke",0.000314861460957179,1,1,0
"412","Loras-Tyrell",0.000480538202787122,28,0.0714799499110433,455.349467978382
"413","Lorent-Caswell",0.000358294518093873,1,1,0
"414","Lorren",0.000376506024096386,8,0.189838333620294,1184.70130906867
"415","Lothar-Frey",0.000398247710075667,11,0.160548694057193,87.6250580612709
"416","Lothor-Brune",0.000384911470361817,5,0.258981592989398,14.3295055731649
"417","Lucas-Codd",0.000260756192959583,2,0.5,794
"418","Lucifer-Long",0.000235349493998588,1,1,0
"419","Luton",0.000289519397799653,1,1,0
"420","Luwin",0.000481927710843373,22,0.0959102328976153,994.630608848529
"421","Lyanna-Mormont",0.000387296669248644,1,1,0
"422","Lyanna-Stark",0.000419639110365086,5,0.249643221748216,3.63002500858292
"423","Lyle-Crakehall",0.000393700787401575,5,0.266336511354834,2.85241702741703
"424","Lyn-Corbray",0.000366703337000367,4,0.365868161655601,6.64346641902058
"425","Lynesse-Hightower",0.000348675034867503,1,1,0
"426","Lyonel-Corbray",0.00036101083032491,2,0.651376471253961,0
"427","Lysa-Arryn",0.000474833808167141,24,0.0780749881453766,1914.07060939403
"428","Lysono-Maar",0.000348675034867503,1,1,0
"429","Mace-Tyrell",0.000480538202787122,23,0.0832202565065159,1856.2365561956
"430","Mad-Huntsman",0.000379218809252939,1,1,0
"431","Maddy",0.000382555470543229,5,0.346092,11.5906347236462
"432","Maege-Mormont",0.000394166338194718,5,0.320089598869692,1.26666666666667
"433","Maegor-I-Targaryen",0.000402576489533011,6,0.195288023837365,798.626034859822
"434","Maekar-I-Targaryen",0.000330360092500826,1,1,0
"435","Mag-Mar-Tun-Doh-Weg",0.000387897595034911,2,0.570811451600493,0
"436","Maggy",0.000393545848091303,2,0.645806209480285,0
"437","Malaquo-Maegyr",0.000259403372243839,1,1,0
"438","Malegorn",0.00039032006245121,4,0.449691251154201,110.747554133153
"439","Mallador-Locke",0.000300842358604091,1,1,0
"440","Mance-Rayder",0.000465332712889716,33,0.0673443964577963,4293.96865778422
"441","Mandon-Moore",0.000436681222707424,9,0.141789310213764,7.28418916374057
"442","Manfrey-Martell",0.000233754090696587,1,1,0
"443","Margaery-Tyrell",0.000455788514129444,30,0.0779216953985935,1434.76310446003
"444","Marghaz-zo-Loraq",0.000286368843069874,1,1,0
"445","Marillion",0.000426985482493595,9,0.161797326291297,26.4017295920663
"446","Mariya-Darry",0.000393236335037357,2,0.533524385166789,0
"447","Mark-Mullendore",0.000393236335037357,1,1,0
"448","Marlon-Manderly",0.000389408099688474,2,0.521030622762498,0
"449","Maron-Greyjoy",0.000394011032308905,1,1,0
"450","Marq-Piper",0.000423549343498518,8,0.166257352717634,56.1619905420549
"451","Marselen",0.000348796651552145,2,0.819396228185401,0
"452","Martyn-Lannister",0.000367242012486228,2,0.5,9.82813260502336
"453","Martyn-Rivers",0.000386996904024768,1,1,0
"454","Marwyn",0.00032916392363397,3,0.438434215896337,177.3518859973
"455","Marya-Seaworth",0.000387446726075165,2,0.700093983644041,0
"456","Masha-Heddle",0.000380517503805175,1,1,0
"457","Mathis-Rowan",0.000421052631578947,8,0.157332635417166,816.899119514745
"458","Matthar",0.000387747188832881,1,1,0
"459","Matthos-Seaworth",0.000328083989501312,1,1,0
"460","Mebble",0.000294811320754717,1,1,0
"461","Meera-Reed",0.000384319754035357,11,0.198044304257028,95.0436508331927
"462","Megga-Tyrell",0.000382409177820268,4,0.447519444444444,0
"463","Melara-Hetherspoon",0.00041101520756268,4,0.332578167234016,816.45083150237
"464","Meldred-Merlyn",0.000315556958030925,2,0.555711805555556,0
"465","Melisandre",0.000447027268663388,23,0.0895050197158228,2048.4573952493
"466","Mellei",0.000286944045911047,2,0.838125,0
"467","Meralyn",0.000379218809252939,1,1,0
